Sub_PillarID,Location_ID,Street_address,Descr,Zip_code
31,26489,"1000 W Buena Vista Dr","Disney's Coronado Springs Resort | J-1772",32830
31,26574,"15651 Grove Resort Av","The Grove Resort & Spa | J-1772",34787
31,26597,"901 Timberline Dr","Disney's Wilderness Lodge | J-1772",32830
31,26641,"1 Grand Cypress Blvd","Hyatt Grand Cypress | Wall,  J-1772",32836
31,26670,"11637 Regency Village Dr","Regency Village | J-1772",32821
31,26691,"8800 Vistana Centre Dr","Seraton VIstana Resort Villas | J-1772",32821
31,26717,"14900 Chelonia Pkwy","JW Marriott | J-1772",32821
31,26741,"215 Cypress Dr","Disney Hollywood Studios |- J-1772",32830
31,26759,"14100 Bonnet Creek Resort","Hilton Orlando Bonnet Creek | J-1772",32821
31,26776,"14651 Chelonia Pkwy","Wyndham Bonnet Creek Resort | Wall, J-1772",32821
31,26796,"14200 Bonnet Creek Resort Ln","Waldorf Astoria Orlando | Tesla",32821
31,26813,"1590 E Buena Vista Dr","Disney Springs Orange Garage | J-1772",32836
31,26832,"1662 E Buena Vista Dr","Walt Disney World - Grapefruit Garage | J-1772",32836
31,26871,"12000 International Dr","Worldmark Wyndham | J-1772",32821
31,26894,"11251 Harbour Villa Rd","Marriott Cypress Harbor | J-1772",32821
31,26920,"8636 Villa Pt","Arbors at Maitland Apartments | J-1772",32810
31,26934,"9301 Summit Centre Way","The Tiffany at Maitland West | J-1772",32810
31,26952,"2789 Lee Rd","Trotters Park | J-1772",32810
31,26973,"4851 Apopka Vineland Rd","St. Luke's United Methodist | J-1772",32819
31,26990,"5165 Metrowest Blvd","Eagle Nest Park | J-1772",32811
31,27019,"12785 S. Orange Blossom Trl","Universal Nissan | J-1772",32837
31,27037,"6420 Sea Harbor Dr","Sea Harbor Drive Parking Lot | CHAdeMO, CCS/SAE",32821
31,27057,"9939 Universal Blvd","Shingle Creek Hotel - Employee Lot | J-1772, CHAdeMO, CCS/SAE",32819
31,27074,"1 Jeff Fuqua Blvd","Orlando International Airport - Terminal A | J-1772",32827
31,27098,"7945 Dowden Rd","McCoy Community Park | J-1772",32827
31,27159,"10425 Narcoossee Rd","Walgreens | J-1772",32832
31,27184,"Moss Preserve Pkwy","The Oasis at Moss Park Preserve Luxury Apartments | J-1772",32832
31,27207,"6900 Laureate Blvd","UCF College of Medicine | J-1772",32827
31,27226,"6700 Lake Nona Blvd","UCF/Lake Nona Medical Center | J-1772",32827
31,27242,"100 W Anderson St","Relaible Plaza -2 | CHAdeMO, CCS/SAE",32801
31,27295,"12530 Innovation Way","Hudson at East Apartments | J-1772Hudson at East Apartments | J-1772",32828
31,27316,"2715 Innovation Way","Eight at East Apartments | J-1772",32828
31,27339,"13631 Sachs Ave","Laureate Park Pool",32827
31,27356,"200 Epcot Center Dr","Disney Epcot Center | J-1772",32821
31,27373,"8200 Vineland Ave","Orlando Vineland Premium Outlets | CHAdeMO, CCS/SAE, J-1772",32821
31,27387,"11551 International Dr","La Quinta Inn & Suites by Wyndham | J-1772",32821
31,27415,"11715 Avenue Laguna","Marriott Grande Vista | J-1772",32821
31,27434,"5935 Avenida Vista","Marriott Grand Vista | J-1772",32822
31,27454,"6300 Parc Corniche Dr","Parc Corniche Condominium | J-1772",32821
31,27470,"6801 Integra Cove Blvd","Integra Cove Apartments | J-1772",32821
31,27487,"6677 Sea Harbor Dr","Renaissance Orlando at SeaWorld | Tesla, J-1772",32821
31,27509,"7049-7057 Sea Harbor Dr","Sea World Orlando | J-1772",32821
31,27523,"6420 Sea Harbor Dr","Seaworld Corporate Office | J-1772",32821
31,27537,"6675 Westwood Blvd","Westwood Blvd Parking Garage | J-1772",32821
31,27563,"9400 Turkey Lake Rd","Dr Philips Hosptial - Parking Deck | J-1772",32819
31,27578,"10000 Turkey Lake Rd","Westgate Lakes Resort & Spa | J-1772",32819
